uuid,nome,cliente,regiao,status
7892df2e-e090-6da5-61b3-9f78b96d6608,Terras Atibaia II - Atibaia.,Terras Atibaia II 2,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
2aa5d7c1-3057-ca58-618c-65cf1f11b953,Terras Atibaia II - Atibaia..,Terras Atibaia II 3,ATIBAIA / FRANCO DA ROCHA / MAIRIPORÃ,inativo
666fad00-16ab-4269-bcb6-29a22c5f0adc,Teste FindMe,Base GAP,POSTOS DA GAP,inativo
bc478169-8fff-4524-bc8c-4661ac33fb54,Teste Findme Ari,Fittafer,POSTOS DA GAP,inativo
1365304f-9638-421b-b49e-7f9a772fe030,Testee,Base GAP,POSTOS DA GAP,inativo
f7dd2c5c-7d69-a1e8-e815-eedf4d86c717,Três Montanhas -,Três Montanhas,REGIÃO PADRÃO,inativo
38264f5d-2aac-4034-83ae-02452fca4d00,UPPER VILLE,Condominío Upper Ville,POSTOS DA GAP,inativo
ccbf3d2f-a32f-4f88-9eca-d96dd285be71,VARANDA POMPÉIA,VARANDA POMPÉIA,ZONA OESTE,ativo
8fa62739-0dbb-4b10-97a7-aca14d54518a,VEIGA VILLE,ED VEIGA VILLE,POSTOS DA GAP,inativo
7b12430d-7cbf-4f4f-93fd-acb8a73cf519,VILA BELA,Cond. ED VILA BELA,POSTOS DA GAP,inativo
403b1c4c-75ca-d9a7-1a3c-ca85b9536e76,VILLAGE MORUMBI,Village Morumbi,POSTOS DA GAP,inativo
78333a23-2eb3-4313-825c-6def0f89f779,VILLETE,Villette,ZONA OESTE,ativo
a93f40ca-2e35-b0d4-faf2-78ca49f12fbe,Vila Verde - Franco da Rocha,Vila Verde,FRANCO DA ROCHA,inativo
de9213b9-14ae-f5e7-8b41-70d6e9b7b91f,Villa Sp,Villa Sp,POSTOS DA GAP,inativo
01189ee1-b5a4-4142-8e44-56a2146ace52,Vivaz Rio Bonito- Inativo,Vivaz Rio Bonito,POSTOS DA GAP,inativo
7e37e73b-886d-4a7d-9a59-3dbc8bcec690,Vivaz prime,Viva prime,POSTOS DA GAP,inativo
37df8e92-da28-43d2-a30b-0c9626e0c907,WESTROCK,Westrock- Tabapuã,POSTOS DA GAP,inativo
ad52a03e-052c-b0f1-0be4-8157ba5fe1e3,Ypeville - Mairiporã,Ypeville,MAIRIPORÃ,inativo
601058fa-2f8a-0a22-bcc3-907d1c281e89,posto villa sp,Cond Villa São Paulo Familly Club,REGIÃO PADRÃO,inativo
6651a673-5459-42b9-a887-9b49382c3e97,test,Base GAP,POSTOS DA GAP,inativo
